145.0
3 / 4
Note/Rest,Octave,Len,Offset
F,3,0.25,367.125
E,3,0.375,368.125
F,4,0.125,370.125
G,2,0.125,371.0
G,5,0.125,372.375
G,4,0.0,373.25
A,4,0.0,373.375
A,4,0.0,373.5
B,4,0.125,373.5
B,4,0.125,373.625
E,5,0.0,374.0
G,3,1.33333333333,374.125
A,5,0.25,378.125
G,5,0.5,378.375
F,4,0.375,383.125
D,4,0.25,384.0
G,3,0.333333333333,387.125
D,3,0.5,388.125
E,3,0.5,388.666666667
C,5,0.25,392.125
G,2,1.25,395.125
A,6,0.75,400.0
B,3,1.33333333333,3.125
C,3,2.0,6.125
B,2,1.875,12.0
G,4,0.5,16.0
C,5,0.25,16.6666666667
G,3,2.25,18.125
C,4,1.0,21.125
G,5,1.0,22.375
C,4,1.125,24.125
G#,3,0.75,31.6666666667
G,3,1.125,33.0
E,4,0.375,36.0
F,3,1.125,40.6666666667
C,4,0.875,43.6666666667
A,2,1.125,45.25
F,4,0.75,46.75
C,4,1.125,48.125
D,3,1.33333333333,49.75
G,2,1.625,51.125
E,4,1.0,54.125
G#,4,0.5,56.5
C,4,2.125,57.3333333333
F,4,0.375,64.0
D,5,0.25,65.6666666667
E,4,0.333333333333,67.0
C,5,0.5,68.0
C#,4,0.375,69.75
F,5,0.125,70.3333333333
B-,5,0.25,70.625
F,4,0.333333333333,70.875
C#,6,0.25,71.25
C,4,0.25,73.0
C,4,0.5,74.0
E,6,0.25,75.3333333333
D,4,0.125,76.875
D,5,0.25,85.125
C,4,0.5,86.0
D,4,0.25,87.0
B,3,0.75,88.75
D,3,0.25,89.6666666667
A,3,0.625,90.0
E,3,0.125,94.0
E,3,0.25,94.625
D,4,0.375,95.625
A,4,1.125,100.0
D,5,1.0,102.0
G,4,0.25,103.125
C#,4,1.125,105.125
C#,4,0.5,106.5
E,6,0.125,110.5
E-,4,0.625,112.666666667
G,2,1.125,117.5
G,3,0.375,119.0
C,4,1.25,123.125
B,4,0.875,126.0
D,4,0.5,127.625
B-,3,0.875,129.0
F,4,1.125,132.0
E,5,0.875,133.5
D,4,1.125,135.0
G#,2,1.125,139.625
F,3,1.25,141.125
E-,3,1.0,142.666666667
A,3,0.375,144.0
B,3,0.5,147.0
G,2,0.125,148.625
E,3,1.375,150.666666667
C,3,0.375,153.125
D,4,2.0,157.0
C,5,0.25,159.25
G,4,0.125,159.75
D,4,0.125,159.875
E,4,0.666666666667,163.0
G,3,0.5,166.666666667
C,4,0.625,168.0
G,3,1.625,174.0
B,4,0.875,177.0
G,3,0.333333333333,178.666666667
D,3,1.33333333333,181.625
B,3,0.875,183.0
F,3,0.125,184.625
G,4,1.125,186.0
E,4,0.5,187.75
B,1,1.75,189.125
E-,3,1.125,192.0
F,4,0.875,193.666666667
E-,2,1.625,195.125
G,3,4.25,198.125
B,5,1.375,202.75
G#,4,0.25,206.333333333
E-,5,0.25,206.875
C,5,0.125,207.375
E-,5,0.333333333333,208.5
C#,3,3.625,213.125
C#,3,2.875,217.125
E-,4,0.875,220.625
C,4,1.0,222.75
G,4,0.375,224.875
C#,3,4.66666666667,225.75
C#,2,2.75,232.375
E,3,1.625,236.25
G,2,1.625,240.75
D,5,0.75,246.875
D,5,0.375,248.5
G#,3,0.625,338.25
E-,3,1.0,346.125
F#,3,0.375,351.125
G#,4,0.375,353.125
F#,3,2.625,360.75
G,2,1.125,366.25
E,3,0.375,372.0
C,5,0.0,373.666666667
F,5,0.0,374.25
F,5,0.125,374.25
G,5,0.0,374.375
G,5,0.125,374.5
B-,3,1.125,378.125
C,4,0.625,381.125
F,3,0.375,383.125
E,3,1.25,384.125
C#,4,0.25,387.125
F,3,0.25,389.125
C,5,1.25,390.125
C,2,0.333333333333,396.0
G#,5,0.875,400.0
G,4,0.875,1.0
F,3,1.25,3.125
G,3,1.625,6.125
B,3,0.875,19.75
F,4,0.375,22.5
C#,4,0.375,23.125
D,3,1.75,24.125
E,5,2.5,27.25
C,5,0.625,31.6666666667
G,2,0.125,41.625
E,4,0.75,43.6666666667
F,4,0.375,45.6666666667
B-,3,0.666666666667,46.875
D,2,0.125,48.75
F,4,0.875,49.75
F,3,0.25,52.6666666667
A,3,0.75,54.125
E,4,0.375,56.5
F,3,1.875,57.3333333333
C#,4,0.5,70.875
E,5,0.25,75.375
D,5,0.75,76.0
G,4,1.0,88.75
E,3,3.75,90.0
C,4,1.33333333333,96.625
A,4,0.125,98.0
G,4,0.875,102.0
G,3,1.875,105.125
G#,3,0.666666666667,112.75
E,3,1.25,114.0
E,3,1.0,117.875
A,3,0.125,122.0
B,2,1.75,123.125
D,4,1.0,126.0
G,3,0.25,127.666666667
A,2,1.25,129.0
C,5,0.875,132.0
B-,4,0.875,133.5
E,4,0.5,147.0
G,4,0.125,151.125
A,3,0.5,153.125
D,5,0.125,157.625
E,5,0.125,158.0
G,4,0.75,165.125
A,3,0.875,168.0
E,4,0.625,175.0
C,5,0.125,177.0
F,3,0.666666666667,183.0
E-,4,1.33333333333,186.0
C#,4,1.125,189.125
